fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2024-12-31,USD,77962000000,77962000000,None,None,28489000000,36362000000,None,49473000000,None,47676000000,90777000000,43101000000,None,None,None,-4492000000,23364000000,3399000000,None,19965000000,None,28489000000,23997000000,19722000000
2023-12-31,USD,77198000000,77198000000,-5399000000,-5399000000,28668000000,35829000000,None,48530000000,None,53037000000,80072000000,32743000000,None,None,None,6271000000,21636000000,2607000000,None,17943000000,None,21636000000,27907000000,19142000000
2022-12-31,USD,74368000000,73785000000,-583000000,-583000000,14970000000,35090000000,None,46289000000,None,44950000000,54024000000,9074000000,None,None,None,7309000000,15629000000,2087000000,None,12882000000,None,14969000000,22278000000,13677000000
2021-12-31,USD,79166000000,78492000000,-674000000,-674000000,35262000000,35541000000,None,48059000000,None,35779000000,39694000000,3915000000,None,None,None,8494000000,29563000000,5578000000,None,23238000000,None,28816000000,37310000000,22109000000
2020-12-31,USD,60172000000,72340000000,12168000000,12168000000,11693000000,34811000000,None,57667000000,None,39835000000,47798000000,7963000000,None,None,None,8219000000,2505000000,-1157000000,None,3586000000,None,-892000000,8082000000,3377000000
2019-12-31,USD,84227000000,85063000000,836000000,836000000,25967000000,35128000000,None,58260000000,None,47231000000,66083000000,18852000000,None,None,None,6573000000,25967000000,5761000000,None,20041000000,None,24507000000,31080000000,19715000000
2018-12-31,USD,84696000000,86408000000,1712000000,1712000000,28538000000,33085000000,0,56158000000,None,49995000000,64647000000,14652000000,None,None,None,5593000000,28538000000,5662000000,None,22876000000,None,28538000000,34131000000,22393000000
2017-12-31,USD,85989000000,88389000000,2400000000,2400000000,46918000000,38457000000,0,58612000000,None,49557000000,58909000000,9352000000,None,None,None,5406000000,27377000000,4917000000,None,22460000000,None,29816000000,59632000000,22183000000
2016-12-31,USD,84541000000,87388000000,2847000000,2847000000,45715000000,38231000000,0,52421000000,None,47754000000,53663000000,5909000000,None,None,None,4970000000,32120000000,10075000000,None,22045000000,None,32120000000,37090000000,21938000000
2015-12-31,USD,83690000000,83827000000,137000000,137000000,47176000000,35908000000,0,50049000000,None,45301000000,49277000000,3976000000,None,None,None,35860000000,33641000000,10365000000,None,23276000000,None,33641000000,69501000000,22894000000
2014-12-31,USD,82980000000,81967000000,-1013000000,-1013000000,36213000000,34840000000,0,49065000000,None,None,None,4025000000,None,None,None,36213000000,33915000000,10307000000,None,23608000000,None,33915000000,70128000000,23057000000
2013-12-31,USD,82308000000,82308000000,6598000000,6598000000,45831000000,35015000000,0,48827000000,None,None,None,4289000000,None,None,None,35094000000,32629000000,10405000000,None,22224000000,None,32629000000,67723000000,21878000000
2012-12-31,USD,84601000000,84601000000,12378000000,12378000000,31464000000,30160000000,0,50368000000,None,None,None,5161000000,None,None,None,2807000000,28471000000,9103000000,None,19368000000,None,28471000000,31278000000,18897000000
2011-12-31,USD,79466000000,79466000000,14548000000,14548000000,25993000000,28933000000,0,79466000000,None,None,None,6649000000,None,None,None,2208000000,23656000000,7445000000,None,None,None,23656000000,25864000000,15869000000
2010-12-31,USD,84431000000,84431000000,23792000000,23792000000,18041000000,28409000000,0,84431000000,None,None,None,8039000000,None,None,None,1924000000,19001000000,6338000000,None,12663000000,None,19276000000,21200000000,12362000000
2009-12-31,USD,88501000000,88501000000,31618000000,31618000000,21922000000,28316000000,0,88501000000,None,None,None,9950000000,None,None,None,2841000000,17998000000,5331000000,None,None,None,21922000000,24763000000,12275000000
2008-12-31,USD,42225000000,42225000000,-409000000,-409000000,6233000000,12940000000,None,42634000000,None,None,None,9755000000,None,None,None,1669000000,3300000000,602000000,None,None,None,13012000000,14681000000,2655000000
2007-12-31,USD,38656000000,38656000000,19142000000,19142000000,11877000000,13368000000,None,-12826000000,None,None,None,14203000000,None,None,None,1532000000,11835000000,3570000000,None,None,None,25830000000,27362000000,8057000000
2006-12-31,USD,34953000000,34953000000,14492000000,14492000000,12778000000,11927000000,None,-9920000000,None,None,None,12288000000,None,None,None,3221000000,12745000000,4263000000,None,None,None,12745000000,15966000000,8420000000
2005-12-31,USD,32949000000,32949000000,9841000000,9841000000,11777000000,10455000000,None,-13943000000,None,None,None,7458000000,None,None,None,4161000000,11548000000,3877000000,None,None,None,11777000000,15938000000,7671000000
